attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
1,han peng,302573,0,2,midfielder,1,5,1,37.8,165.0,0,0,china pr,0,0,1,0,0,201,0,29,3,0,0,0,6,0,17,2,0,1,4,14,4,0,3,0,1,0,143,0,0,0,97,0,0,0,0,0,0,4,0,360,1989-12-20 00:00:00,0,0,4,0,0
0,lou jiahui,298539,0,1,forward,0,1,0,6.3,167.0,0,0,china pr,0,0,0,0,0,13,0,28,0,0,0,0,4,0,2,0,0,0,4,1,0,0,0,0,0,0,8,0,0,0,113,0,0,0,0,0,0,1,0,58,1991-05-26 00:00:00,0,0,2,0,0
0,tan ruyin,381421,0,0,midfielder,0,0,0,6.9,166.0,0,0,china pr,0,0,0,0,0,29,0,24,0,0,0,0,19,0,1,0,0,0,1,4,0,0,1,0,0,0,17,0,0,0,52,0,0,0,0,0,0,3,0,57,1994-07-17 00:00:00,0,0,1,0,0
,xu huan,381061,,,goalkeeper,,,,,180.0,,,china pr,,,,,,,,20,,,,,1,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,1999-03-06 00:00:00,,,,,
1,lin yuping,357318,0,2,defender,2,0,0,38,180.0,0,0,china pr,0,0,0,0,0,131,0,27,0,0,0,0,3,0,8,1,0,0,0,2,2,0,4,0,1,0,84,0,0,0,16,0,0,0,0,0,0,1,0,360,1992-02-28 00:00:00,0,0,4,0,0
0,wang shanshan,386979,1,1,forward,5,3,0,30.3,170.0,0,0,china pr,0,0,1,0,0,107,0,29,1,2,0,0,11,0,4,0,0,0,45,4,6,0,0,0,5,0,69,0,0,0,135,0,0,0,0,0,0,3,0,286,1990-01-27 00:00:00,0,0,4,0,0
,li jiayue,386980,,,defender,,,,,176.0,,,china pr,,,,,,,,29,,,,,8,,,,,,1,,,,,,,,,,,,67,,,,,,,,,,1990-06-08 00:00:00,,,,,
0,peng shimeng,378004,0,0,goalkeeper,0,0,0,16.4,182.0,0,0,china pr,0,0,0,0,0,38,0,21,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,85,18,0,0,0,18,0,0,0,0,0,0,0,0,360,1998-05-12 00:00:00,0,17,4,0,0
0,song duan,358722,0,2,forward,0,0,0,5.5,170.0,0,0,china pr,0,0,0,0,0,31,0,23,1,0,0,0,15,0,0,0,0,0,7,1,1,0,0,0,1,0,21,0,0,0,24,0,0,0,0,0,0,0,0,50,1995-08-02 00:00:00,0,0,2,0,0
1,wang shuang,357314,1,3,forward,2,15,13,32.6,165.0,0,0,china pr,0,0,1,0,0,126,0,24,5,1,0,0,7,0,1,1,0,0,26,3,7,0,0,0,5,0,82,0,0,0,99,0,0,0,0,0,0,7,0,280,1995-01-23 00:00:00,0,0,4,0,0
0,liu shanshan,357313,1,1,defender,0,4,0,38.4,169.0,0,0,china pr,0,0,0,0,0,187,0,27,1,0,0,0,2,0,11,1,0,1,1,7,1,0,0,0,0,0,120,0,0,0,113,0,0,0,0,0,0,3,0,360,1992-03-16 00:00:00,0,0,4,0,0
,bi xiaolin,395157,,,goalkeeper,,,,,177.0,,,china pr,,,,,,,,29,,,,,18,,,,,,0,,,,,,,,,,,,35,,,,,,,,,,1989-09-18 00:00:00,,,,,
0,wang yan,395158,0,1,defender,0,2,0,27.6,173.0,0,0,china pr,0,0,0,0,0,106,0,27,1,0,0,0,13,0,9,1,0,1,0,9,1,0,2,0,0,0,74,0,0,0,29,0,0,0,0,0,0,2,0,232,1991-08-22 00:00:00,0,0,3,0,0
0,li wen,251972,1,0,defender,0,0,0,4.5,169.0,0,0,china pr,0,0,0,0,0,5,0,30,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,35,1989-02-21 00:00:00,0,0,1,0,0
